election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
19,ON,125,"PARKDALE",,,12487,,,13605,,PC,Lib,Con
19,ON,126,"PARRY SOUND",,,5850,786,,4159,,Lib,PC,NDP
19,ON,127,"PEEL",,,7638,,,8486,,PC,Lib,Con
19,ON,128,"PERTH",,,12926,,,8451,,Lib,PC,CCF
19,ON,129,"PETERBOROUGH WEST",,,9505,,,9683,,PC,Lib,Con
19,ON,130,"PORT ARTHUR",3128,,10327,,,5213,,Lib,PC,CCF
19,ON,131,"PRESCOTT",,,6431,,2028,1819,,Lib,Other,PC
19,ON,132,"PRINCE EDWARD--LENNOX",,,5906,,,6574,,PC,Lib,Con
19,ON,133,"RENFREW NORTH",709,,6199,,,4536,,Lib,PC,CCF
19,ON,134,"RENFREW SOUTH",,5236,6228,,,,,Lib,Con,CCF
19,ON,135,"ROSEDALE",991,,10399,,,12519,,PC,Lib,CCF
19,ON,136,"RUSSELL",,,6045,,,2961,,Lib,PC,CCF
19,ON,137,"SIMCOE EAST",,,8470,,,7024,,Lib,PC,CCF
19,ON,138,"SIMCOE NORTH",,,7096,,,6030,,Lib,PC,CCF
19,ON,139,"SPADINA",,,20506,,2922,14148,,Lib,PC,Other
19,ON,140,"ST. PAUL'S",,,14816,,,15591,,PC,Lib,Con
19,ON,141,"STORMONT",,,10197,,,6202,,Lib,PC,CCF
19,ON,142,"TIMISKAMING",2481,,15361,,4314,,,Lib,Other,CCF
19,ON,143,"TRINITY",,,14901,,1071,11617,,Lib,PC,Other
